epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,9292.17,0.98349,3.51324,1.46295,0.86473,0.7815,0.8451,0.63575,1.065,3.2166,1.73558,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,9444.63,0.97248,3.50555,1.45705,0.86,0.79333,0.84191,0.61524,1.10497,3.14693,1.8024,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,9596.57,0.97314,3.41553,1.45284,0.85459,0.8102,0.8544,0.63918,1.06028,3.03362,1.74069,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,9748.69,0.98051,3.50986,1.46484,0.86482,0.80608,0.85407,0.64002,1.06226,3.04546,1.73226,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,9900.65,0.97825,3.47915,1.45951,0.89795,0.77782,0.85565,0.65318,1.013,2.9373,1.68007,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,10052.2,0.95763,3.40334,1.45039,0.88291,0.78695,0.85507,0.63937,1.05449,3.10228,1.73759,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,10205.3,0.97241,3.47923,1.45581,0.8205,0.83884,0.86547,0.65383,1.05258,2.84795,1.72263,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,10357.4,0.97331,3.42999,1.45466,0.87703,0.79153,0.85653,0.64043,1.05408,3.12032,1.73485,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,10510.5,0.95954,3.36813,1.44981,0.88058,0.79459,0.85604,0.64783,1.04936,2.98382,1.73674,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,10662.4,0.95491,3.41617,1.44075,0.84906,0.80266,0.85357,0.65533,1.03244,2.95408,1.70521,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
